datetime,distance_km,satellite_latitude_deg,satellite_longitude_deg,site_latitude_deg,site_longitude_deg,view_zenith_angle_deg,satellite_azimuth_deg,satellite_elevation_deg,solar_azimuth_deg,solar_elevation_deg
2020-01-13 20:29:07.799999+00:00,0.02018319433266211,-9.98927202189968,-59.81607123833143,-10.0,-59.99999999999999,2.0115623945369236,86.64652521239131,87.98843760546308,250.90732243692625,26.684681213240413
2020-02-13 18:27:36.599999+00:00,0.010220722328680298,-9.996635955521736,-59.906757188494254,-10.0,-59.99999999999999,1.0300197036561656,87.92241767139166,88.96998029634383,260.84119578035677,57.19279348247624
2020-03-15 16:26:01.799999+00:00,0.0019420325434931997,-9.997831261463269,-59.98240838221236,-10.0,-59.99999999999999,0.1963129106579231,82.90792040801624,89.80368708934208,332.1949426983184,80.7153260773228
2020-04-15 14:24:29.599999+00:00,0.0075671056865180735,-10.004133300291949,-60.068953574375314,-10.0,-59.99999999999999,0.7550301547416893,266.5313415665964,89.24496984525831,50.47851099723428,58.91410615736779
2020-05-16 12:22:59.199999+00:00,0.017881943436625712,-10.007776093326509,-60.16305666208375,-10.0,-59.99999999999999,1.7952674557587898,267.2297781838659,88.20473254424121,60.821620016926595,29.832194658475903
2020-06-16 10:21:24.799999+00:00,0.026389775012460332,-10.013947642891292,-60.24050301124084,-10.0,-59.99999999999999,2.6708949460238216,266.6287757925238,87.32910505397618,66.1131193979904,0.6976148407837633
2020-07-25 19:44:01.199999+00:00,0.031146533927763637,-10.017391923756142,-59.71620199860886,-10.0,-59.99999999999999,3.1526181967455784,93.56455081562476,86.84738180325442,298.8787575605454,28.911423061991293
2020-08-25 17:42:27.199999+00:00,0.022439721655778434,-10.0106991927817,-59.7954307896082,-10.0,-59.99999999999999,2.248444754844442,93.0398842741694,87.75155524515556,308.52588301868747,57.725770605651476
2020-09-25 15:40:56.999999+00:00,0.01201186621382393,-10.005908521821663,-59.890505907739566,-10.0,-59.99999999999999,1.1997010050459522,93.12739520105778,88.80029899495405,16.726866231420843,80.8247631675674
2020-10-26 13:39:24.299999+00:00,0.0027619722846072077,-10.003621643896176,-59.97505520603554,-10.0,-59.99999999999999,0.2795041151826041,98.33977199605576,89.7204958848174,98.10229594747908,59.37350104915966
2020-11-26 11:37:49.599999+00:00,0.005619284448274037,-9.99684544508358,-60.051198571686434,-10.0,-59.99999999999999,0.5653196191042866,273.5544439299036,89.43468038089571,108.64374582711379,29.212366531124196
